"Be" "Bb" "Ca" "Cb" "Dt" "Bp" "L" "N" "Pha" "UC1" "UC2" "V"
"1" 0 3.14871122877108 39.9591242432296 13.3864783573929 0.217991308205895 0.0886706035688407 18.0194242337134 3.69323736360406 18.4185929159399 0.744604307178239 0 2.32316543839611
"2" 0.0508169117021823 3.75583174671584 50.9606166538176 14.2573629349815 0 0.0785352271761 14.8877895539415 2.47876373574308 11.3784729990654 0.456214184492591 0.304142789661727 1.3914532627024
"3" 0 3.12573640253262 51.5485273796915 15.7270976261371 0 0.105045239757244 15.2863036276397 2.48797769387791 7.92409181936369 0.59036758837781 0.843382269111157 2.36147035351124
"4" 0.0768103061745215 3.49486893094073 52.1682174705412 13.0170977830146 0 0.0537672143221651 17.2881603502205 4.78821991418355 1.51175645066126 0.537292003571752 0.28444870777328 6.77936086859651
"5" 0 3.49699632793948 35.578928286453 13.6435037374805 0.170748332749781 0.200464757652582 13.7476587183594 2.08964412519062 29.9355825934569 0.696548041730207 0 0.439925078987499
"6" 0.130715204044914 3.49663170820144 52.290091807106 13.980498951725 0 0.0653576020224569 13.6212673989335 2.94343083280015 9.69355028677533 0.48407268150208 0.255482804126098 3.03890072276306
"7" 0 3.24364212628264 52.6438291572053 14.3658533296919 0.050207592354753 0.0745006142079051 18.2704007069577 3.82008894492405 3.0228293415271 0.584803739716768 0.245240277945742 3.67860416918612
"8" 0 3.0631461531398 48.0022564242917 13.1614581334499 0.053774777972615 0.0748249441988347 18.2575733644342 4.10256602160347 8.07344859249385 0.685043857265871 0.446433075521579 4.07947465562822
"9" 0.134966829820377 3.22026120273179 53.6037526421979 16.1130698795758 0 0.106552760384508 14.1468831762867 2.37729992769555 8.34860708319631 0.506637689508889 0 1.44196880860222
"10" 0 3.09026405004213 32.0494464553006 8.60316186180754 0 0 14.3903604710323 4.96219326587321 29.7962320425809 1.15370993431552 0 5.95463191904785
"11" 0 2.92948394206989 46.0187628238556 14.7601235246851 0 0 14.3949845196452 3.21441401894991 16.3063599393966 1.32769274695757 0 1.04817848444019
"12" 0 3.40716344041796 37.9164341533622 12.3630621357696 0 0.0696049732465363 13.4725419140803 2.14804558579086 28.7042270740261 0.572812156210895 0.3837841446613 0.962324422434304
"13" 0.121112488628612 3.27003719297253 33.1304924889394 12.4627502239511 0 0.060556244314306 13.0167948482174 2.13292044220407 34.5295705726319 0.53821356952813 0 0.737551928612623
"14" 0.0645720324626677 3.57164054559131 57.3836703639804 14.2203631090687 0 0.0484290243470007 14.0155091686731 2.04586579334185 6.05940561382303 0 0.2457695920573 2.34477475665478
