"Alpha-caroten" "Beta-caroten" "Chlorophyll-a" "Chlorophyll-a-allomer" "Chlorophyll-a-epimer" "Chlorophyll-a-iso1" "Chlorophyll-a-iso2" "Chlorophyll-a-iso3" "Chlorophyll-b" "Chlorophyll-b-iso1" "Chlorophyll-b-iso2" "Chlorophyll-b-iso3" "Chlorophyll-b-iso4" "Diatoxanthin" "Gama-caroten" "Lutein" "Neoxanthin" "Neoxanthin-iso1" "Pheophytine-a" "Pheophytine-a1" "Pheophytine-a2" "Pyropheophytin-a" "UC1" "UC2" "Violaxanthin" "ID" "station" "time"
"1" 0 3.14871122877108 36.786566174769 1.38484677591533 1.43520484049407 0 0.352506452051175 0 12.4562048319675 0.504555132434126 0.236510218328497 0 0.189208174662797 0.217991308205895 0.0886706035688407 18.0194242337134 3.69323736360406 0 14.246425459843 1.62816290969634 1.22112218227226 1.32288236412828 0.744604307178239 0 2.32316543839611 "01S3T3" "S3" "T3"
"2" 0.0508169117021823 3.75583174671584 49.546472397531 0.327824350320976 1.00275683627593 0 0.0835630696896605 0 13.7421335573199 0.338119279090471 0.132832573928399 0 0.0442775246427998 0 0.0785352271761 14.8877895539415 2.47876373574308 0 10.2873865471002 1.09108645196518 0 0 0.456214184492591 0.304142789661727 1.3914532627024 "02S3T2" "S3" "T2"
"3" 0 3.12573640253262 48.5718316423442 1.78245253733373 1.1942432000136 0 0 0 14.8229848456424 0.334856585368427 0.569256195126326 0 0 0 0.105045239757244 15.2863036276397 2.48797769387791 0 6.2672362571331 0.792409181936369 0.864446380294221 0 0.59036758837781 0.843382269111157 2.36147035351124 "03S3T3" "S3" "T3"
"4" 0.0768103061745215 3.49486893094073 50.8723616204407 0.41413949848573 0.88171635161478 0 0 0 12.2892780483602 0.426652947900864 0.301166786753551 0 0 0 0.0537672143221651 17.2881603502205 4.78821991418355 0 1.51175645066126 0 0 0 0.537292003571752 0.28444870777328 6.77936086859651 "04S3T1" "S3" "T1"
"5" 0 3.49699632793948 33.0375762659921 0.991747129935973 1.54960489052496 0 0 0 12.2461605381937 0.718079144077922 0.679264055208845 0 0 0.170748332749781 0.200464757652582 13.7476587183594 2.08964412519062 0 23.79816189438 3.13133709136579 1.50304180385558 1.50304180385558 0.696548041730207 0 0.439925078987499 "05S3T4" "S3" "T4"
"6" 0.130715204044914 3.49663170820144 50.7668586979424 0.52290091807106 1.00033219109246 0 0 0 13.489330709531 0.320327114474351 0.170841127719654 0 0 0 0.0653576020224569 13.6212673989335 2.82375730876213 0.119673524038014 8.31532038818168 1.37822989859365 0 0 0.48407268150208 0.255482804126098 3.03890072276306 "06S3T1" "S3" "T1"
"7" 0 3.24364212628264 48.5213117875786 2.479889558905 1.64262781072164 0 0 0 13.5119913486779 0.424434318047902 0.354527489192953 0 0.0749001737731591 0.050207592354753 0.0745006142079051 18.2704007069577 3.66917185080359 0.150917094120456 2.48142707140285 0.254587972260811 0.286814297863446 0 0.584803739716768 0.245240277945742 3.67860416918612 "07S3T3" "S3" "T3"
"8" 0 3.0631461531398 45.848434155559 0.943517308055075 1.21030496067754 0 0 0 12.5706186816387 0.444148277568433 0.146691174242785 0 0 0.053774777972615 0.0748249441988347 18.2575733644342 3.91783509380144 0.184730927802033 7.23191649164758 0.841532100846264 0 0 0.685043857265871 0.446433075521579 4.07947465562822 "08S3T1" "S3" "T1"
"9" 0.134966829820377 3.22026120273179 50.3750078610453 1.4825868893048 1.4825868893048 0 0.263571002543075 0 15.0815033059794 0.453889292382416 0.577677281213984 0 0 0 0.106552760384508 14.1468831762867 2.37729992769555 0 6.2581265216942 1.02526753653288 1.06521302496923 0 0.506637689508889 0 1.44196880860222 "09S3T4" "S3" "T4"
"10" 0 3.09026405004213 29.2598022284976 1.8877291760321 0.901915050770894 0 0 0 8.60316186180754 0 0 0 0 0 0 14.3903604710323 4.96219326587321 0 22.0398871438721 4.23843983536001 3.51790506334881 0 1.15370993431552 0 5.95463191904785 "10S3T1" "S3" "T1"
"11" 0 2.92948394206989 43.3013519253994 1.41777959919452 1.29963129926165 0 0 0 14.2422244536435 0.517899071041582 0 0 0 0 0 14.3949845196452 3.21441401894991 0 12.4147981969051 1.93384356528715 1.95771817720427 0 1.32769274695757 0 1.04817848444019 "11S3T4" "S3" "T4"
"12" 0 3.40716344041796 36.7009775796082 0.184013345827301 0.963648837358758 0 0.0677943905679528 0 11.7869076580173 0.372984214544926 0.203170263207399 0 0 0 0.0696049732465363 13.4725419140803 2.14804558579086 0 23.9544378118279 4.55995425666331 0.18983500553491 0 0.572812156210895 0.3837841446613 0.962324422434304 "12S3T2" "S3" "T2"
"13" 0.121112488628612 3.27003719297253 31.3273578519524 0.522403492958862 0.926844906862497 0 0.353886237165681 0 11.7029551213901 0.474871939100591 0.284923163460354 0 0 0 0.060556244314306 13.0167948482174 2.13292044220407 0 29.0130119604362 3.33717743206896 1.49832456133708 0.681056618789583 0.53821356952813 0 0.737551928612623 "13S3T4" "S3" "T4"
"14" 0.0645720324626677 3.57164054559131 55.5979763454124 0.359384959711786 1.42630905885615 0 0 0 13.7280656720584 0.49229743701029 0 0 0 0 0.0484290243470007 14.0155091686731 1.91301736520277 0.132848428139081 5.42396232847829 0.635443285344737 0 0 0 0.2457695920573 2.34477475665478 "14S3T2" "S3" "T2"
